age,annual_income,total_debt,credit_history_years,late_payments,credit_utilization,existing_loans,savings,employment_years,debt_to_income,creditworthy
48,18984.71,30182.74,7.57,2,0.555,2,10578.85,17.93,1.59,0
43,40164.78,15105.23,6.25,2,0.242,2,8329.99,10.78,0.376,1
57,25640.25,24586.55,15.39,3,0.617,2,14956.33,0.5,0.959,0
52,104038.22,44630.42,23.18,2,0.145,3,6741.51,16.15,0.429,1
53,57681.38,21022.04,2.33,2,0.354,4,4987.72,15.8,0.364,1
21,99178.24,6997.38,17.52,2,0.349,3,21435.88,2.76,0.071,1
39,24075.05,13971.23,4.02,0,0.5,2,19456.07,11.55,0.58,0
22,47399.09,8526.66,1.58,2,0.171,0,20616.78,4.0,0.18,1
64,77610.96,23201.88,2.06,4,0.596,4,11877.2,5.13,0.299,0
46,63944.04,8327.19,25.11,3,0.482,3,7139.14,11.53,0.13,1
52,71722.92,12325.78,3.98,3,0.427,0,12573.77,11.53,0.172,1
26,32416.22,2586.84,1.83,1,0.31,1,20013.94,8.0,0.08,1
52,90289.68,16414.96,13.42,0,0.433,4,0.0,20.61,0.182,1
24,77094.35,20121.06,25.4,2,0.536,4,18729.34,6.0,0.261,1
31,68835.76,0.0,8.24,3,0.541,1,17709.66,9.14,0.0,1
37,44916.57,21114.88,12.94,1,0.3,4,14745.81,1.8,0.47,0
58,67123.6,17451.6,1.68,4,0.212,3,12208.24,8.74,0.26,1
44,53587.22,8820.1,13.75,1,0.239,0,0.0,16.99,0.165,1
25,23689.19,42343.55,17.54,0,0.549,3,8721.76,7.0,1.787,0
54,58890.7,29501.72,17.34,2,0.331,0,35473.26,24.13,0.501,1
26,56551.93,4843.17,10.31,0,0.173,1,14154.82,8.0,0.086,1
42,83372.83,28058.84,9.81,4,0.502,3,10312.52,15.81,0.337,1
31,15000.0,32933.98,3.65,1,0.495,3,14202.87,13.0,2.196,0
36,65174.4,19584.25,11.32,1,0.305,1,18257.27,3.77,0.3,0
53,34577.5,22337.3,3.44,2,0.141,5,21905.84,11.53,0.646,0
29,67022.91,22060.16,23.11,1,0.843,7,11253.44,11.0,0.329,0
26,68234.16,0.0,29.01,1,0.359,2,19099.04,8.0,0.0,1
36,58089.41,15757.56,29.12,2,0.467,0,34119.81,9.16,0.271,1
49,77760.45,15133.05,26.02,1,0.335,2,26075.01,24.5,0.195,1
23,32593.15,35161.87,18.22,2,0.222,4,42083.6,5.0,1.079,1
40,84369.85,22004.73,21.18,2,0.452,1,6118.76,6.06,0.261,1
56,44422.26,14428.67,8.91,5,0.17,0,34114.27,4.79,0.325,0
39,25770.23,16918.5,19.11,2,0.47,2,4511.92,3.54,0.657,0
46,54007.29,30280.63,13.94,2,0.725,1,18242.79,11.32,0.561,1
23,15000.0,15784.98,14.72,3,0.337,1,22789.72,0.55,1.052,0
39,65591.83,9621.65,22.85,2,0.257,2,7870.67,11.13,0.147,1
40,54296.49,14691.57,8.82,3,0.19,0,15055.57,22.0,0.271,1
52,87141.11,29288.35,9.88,3,0.291,1,24925.53,16.75,0.336,1
27,74276.33,23953.98,27.78,1,0.325,0,5476.75,9.0,0.322,1
61,29376.08,18531.22,2.16,4,0.641,2,34032.6,2.98,0.631,0
53,41555.48,20298.47,14.83,0,0.449,1,0.0,11.83,0.488,1
60,71454.62,11283.09,27.43,3,0.534,0,37276.3,7.16,0.158,1
59,78635.74,15672.61,18.51,4,0.26,1,26015.91,22.35,0.199,1
38,86895.02,10040.35,16.62,1,0.389,0,12923.29,4.53,0.116,1
60,86719.2,14462.65,7.87,1,0.452,1,9167.98,11.47,0.167,1
21,58030.5,34154.14,10.63,1,0.064,0,7915.66,3.0,0.589,0
31,67978.42,5065.54,25.64,2,0.079,4,12370.45,12.85,0.075,1
48,88572.25,9735.39,17.0,1,0.079,3,13418.05,20.76,0.11,1
45,53327.21,2948.41,15.68,3,0.316,0,29062.71,5.79,0.055,1
43,68353.98,349.09,3.44,2,0.554,4,37623.85,9.43,0.005,1
51,52808.62,15758.74,0.97,2,0.209,1,16392.56,19.8,0.298,1
50,47879.14,10588.69,28.93,2,0.162,1,3852.46,13.2,0.221,1
62,61064.47,39140.27,11.62,0,0.27,3,7451.29,10.05,0.641,1
55,44874.04,14605.84,18.29,0,0.336,2,11802.91,0.74,0.325,1
27,57119.85,33472.76,2.85,2,0.236,2,1638.53,9.0,0.586,1
36,37230.99,29616.08,20.65,3,0.172,2,0.0,18.0,0.795,0
46,55820.12,15492.55,28.01,2,0.157,4,39165.53,15.51,0.278,1
22,69864.59,43321.63,17.48,2,0.809,0,17631.36,4.0,0.62,1
21,47047.2,21222.41,4.22,1,0.119,1,4002.4,3.0,0.451,1
32,60204.42,36156.11,17.66,0,0.477,1,23799.24,5.79,0.601,1
25,63065.54,34759.16,23.11,2,0.762,2,0.0,0.36,0.551,0
57,69955.77,22975.78,12.49,3,0.587,4,847.86,16.33,0.328,1
52,57061.24,27013.57,26.46,3,0.16,2,4363.49,12.33,0.473,1
29,83889.06,25488.86,19.64,3,0.692,2,33854.16,11.0,0.304,1
61,15000.0,4268.86,27.03,3,0.13,0,10965.44,17.37,0.285,1
55,124630.56,18687.48,18.89,0,0.255,0,0.0,24.7,0.15,1
39,40835.06,30890.97,4.37,1,0.33,3,28520.79,12.76,0.756,1
36,68874.58,36314.24,9.64,2,0.169,2,10323.42,10.68,0.527,1
23,39353.71,9352.32,6.45,1,0.391,0,0.0,5.0,0.238,1
40,74173.9,24345.98,27.31,4,0.223,0,10199.8,11.92,0.328,1
44,66084.52,19810.44,22.93,0,0.779,1,20252.05,21.82,0.3,1
53,45684.3,16585.51,20.45,1,0.328,0,18848.59,1.06,0.363,1
44,83607.92,22272.03,9.38,3,0.558,0,35580.98,24.45,0.266,1
31,56392.86,20615.97,5.93,1,0.74,1,3766.79,13.0,0.366,1
28,72038.75,24496.89,22.82,3,0.456,3,14560.64,10.0,0.34,0
56,39822.48,35300.6,14.49,4,0.771,1,5605.17,8.29,0.886,0
58,59320.47,27409.53,7.16,1,0.555,4,0.0,5.58,0.462,0
60,104074.96,21727.1,18.69,3,0.469,4,24626.33,6.91,0.209,1
40,81185.24,40375.5,1.69,2,0.345,1,19559.23,1.25,0.497,1
55,66767.66,31319.16,10.12,2,0.116,3,17404.14,11.88,0.469,1
45,50123.74,16891.22,14.32,1,0.334,0,19121.48,1.43,0.337,1
55,61484.97,3394.56,4.86,3,0.192,0,5774.33,17.96,0.055,1
45,64346.45,6146.03,29.55,3,0.615,2,1931.66,9.3,0.096,1
49,69883.03,29198.79,6.67,1,0.206,1,14451.77,4.98,0.418,1
38,36313.47,10436.25,4.35,3,0.398,0,27934.54,13.62,0.287,1
38,74704.98,5903.33,6.5,3,0.52,2,33296.93,20.0,0.079,1
22,36028.95,8902.98,23.19,2,0.187,2,23545.19,4.0,0.247,0
55,95884.77,9751.39,13.05,1,0.384,4,14350.09,12.29,0.102,1
36,43024.18,28207.77,17.18,2,0.269,0,17237.41,18.0,0.656,1
61,66525.82,16119.1,1.12,4,0.449,2,14139.13,18.44,0.242,1
56,82113.14,1531.5,1.52,1,0.153,0,1688.68,22.29,0.019,1
53,54447.64,18372.54,13.65,2,0.788,2,14295.77,5.12,0.337,1
24,67493.2,20667.19,24.59,1,0.447,0,0.0,6.0,0.306,1
53,91573.99,12247.96,26.61,2,0.763,1,12511.07,7.53,0.134,1
34,72416.87,31870.62,3.06,1,0.564,1,33633.26,16.0,0.44,1
41,67822.11,12948.73,16.38,0,0.27,0,23874.31,7.03,0.191,1
40,22934.72,31300.05,27.44,6,0.553,1,2922.57,22.0,1.365,0
28,39458.11,25161.39,11.95,0,0.647,0,13130.85,10.0,0.638,1
27,83032.24,29119.27,24.97,4,0.579,1,3987.48,3.64,0.351,0
23,72538.91,4817.39,4.44,2,0.403,1,13249.83,5.0,0.066,1
37,75872.26,19179.72,28.09,1,0.218,0,26493.29,2.14,0.253,1
53,73978.73,17366.06,22.67,2,0.557,3,21836.1,5.46,0.235,1
32,88374.64,935.92,28.27,3,0.52,0,43809.73,11.1,0.011,1
42,54249.2,31260.73,20.46,2,0.302,2,28309.73,24.0,0.576,1
42,62651.0,8191.19,11.22,1,0.171,1,16448.0,12.21,0.131,1
50,37369.16,10685.19,28.18,0,0.485,0,22125.8,13.76,0.286,1
58,31883.5,5840.21,8.63,2,0.21,4,11570.68,17.36,0.183,1
58,23837.7,26414.24,10.3,4,0.294,0,469.95,24.21,1.108,0
65,40526.4,0.0,21.17,2,0.54,1,29669.32,19.58,0.0,1
28,94156.36,25414.5,23.08,0,0.188,3,26107.9,5.6,0.27,1
47,25840.0,30534.17,27.92,2,0.123,1,11107.35,7.57,1.182,0
47,53322.21,24446.14,6.54,1,0.097,1,17287.23,2.44,0.458,1
54,31550.8,26551.54,24.04,0,0.499,2,28891.27,16.11,0.842,1
41,46778.57,27114.56,22.29,1,0.504,0,24156.22,4.52,0.58,1
50,63733.26,6606.91,2.38,1,0.323,3,0.0,6.44,0.104,1
53,44597.45,35216.82,11.92,2,0.585,2,16923.44,22.2,0.79,1
48,83972.63,12479.08,8.84,2,0.315,2,11988.42,8.17,0.149,1
53,93747.52,17203.35,9.48,2,0.332,3,27356.01,14.17,0.184,0
25,15000.0,14008.35,29.5,0,0.3,1,26372.51,7.0,0.934,0
39,44974.17,23898.51,19.46,3,0.088,2,29823.29,1.85,0.531,1
24,61301.13,11543.55,21.67,0,0.264,0,585.27,6.0,0.188,1
55,84774.57,18802.99,29.31,1,0.115,3,4590.66,10.2,0.222,1
37,50006.63,3175.87,11.63,2,0.246,2,27368.99,19.0,0.064,1
64,59561.42,31975.98,24.15,3,0.531,2,6900.25,8.11,0.537,0
48,34551.63,26048.89,13.32,0,0.073,1,0.0,9.48,0.754,0
50,26278.49,14492.88,26.15,1,0.259,1,20391.16,19.57,0.552,1
49,91798.46,12370.21,5.83,1,0.254,2,7433.38,18.97,0.135,1
26,19870.46,25735.54,28.46,2,0.471,1,35477.49,8.0,1.295,1
55,111229.62,9512.48,6.95,0,0.199,1,17554.21,23.84,0.086,1
61,75953.33,19504.38,10.12,1,0.519,1,15923.11,19.89,0.257,0
57,74959.41,31936.79,22.81,1,0.219,1,9569.07,10.19,0.426,1
44,72660.31,8264.91,12.12,4,0.564,0,33090.02,20.54,0.114,1
49,54440.91,22423.21,18.44,2,0.496,3,18302.65,12.72,0.412,1
51,68625.86,21788.7,13.61,1,0.391,1,9098.01,6.94,0.317,1
55,55844.27,16831.96,22.4,1,0.284,2,4471.0,7.57,0.301,0
53,72167.61,11954.52,7.24,3,0.142,2,13118.32,5.6,0.166,1
41,59258.9,32577.56,2.22,3,0.352,3,2268.24,3.62,0.55,0
52,39092.34,10829.18,9.35,1,0.573,4,26346.53,4.61,0.277,1
43,40847.4,0.0,14.49,1,0.184,2,0.0,1.58,0.0,1
53,38346.01,25686.4,5.46,1,0.583,1,12325.83,22.21,0.67,1
23,81359.82,3584.36,10.97,3,0.606,1,21321.6,5.0,0.044,1
38,46416.17,26302.57,12.3,1,0.21,1,18105.43,14.67,0.567,0
45,17933.73,34018.84,2.19,2,0.39,0,5392.6,21.01,1.897,0
62,68730.45,25557.0,17.71,3,0.733,0,21923.1,4.59,0.372,1
51,93319.39,30856.94,26.59,1,0.252,2,3367.53,22.54,0.331,1
23,77007.83,42240.59,4.98,2,0.524,1,13731.38,5.0,0.549,1
60,46726.88,29601.13,18.14,2,0.187,2,21822.1,1.68,0.633,1
44,25090.14,21966.88,20.11,2,0.354,5,19554.95,3.53,0.876,1
52,57046.1,37607.38,12.87,3,0.233,5,5899.53,7.72,0.659,1
42,56497.07,39057.31,21.18,3,0.368,2,28369.93,1.09,0.691,1
43,38677.61,39225.26,12.62,2,0.557,2,15040.33,7.73,1.014,0
22,72122.82,12094.28,15.39,2,0.364,0,22915.94,1.5,0.168,1
47,100625.78,1751.78,0.72,3,0.357,2,32349.21,5.9,0.017,1
62,64890.22,11361.69,20.91,1,0.198,2,27410.25,6.64,0.175,1
22,63530.48,26443.7,20.01,0,0.692,0,27441.55,4.0,0.416,0
